"name","name_reading","booth_day","booth_space","genre","description"
"U.S.S.ユキカゼ","ユーエスエスユキカゼ","2025-12-31","西お10a","鉄道・旅行・メカミリ","米SF-TV/映画シリーズ「スタートレック」の内、主に24世紀を舞台とする作品に登場する架空の宇宙船（及び科学技術）の考察＆解説本を製作。近年は3DCGを用いた撮影用モデルの考察なども行っています。"
"GRINP","グリンプ","2025-12-31","西あ55b","創作(少年) ","「お兄ちゃんはおしまい！」原作同人誌版シリーズとスピンオフ作品を頒布します。"
"菊地桑港","キクチソウコウ","2025-12-30","南ｏ30a","アニメ(その他)","ガールズバンドクライ（ガルクラ）の仁菜ヒナ二次創作漫画を分布する予定です"
"緑化倶楽部","リョッカクラブ","2025-12-30","東Ｒ26b","艦これ","艦これ本です。龍驤が主人公の賑やかな日常を描いています。公式設定に準じつつも、独自の設定やキャラクターを織り交ぜた自由な世界観を描きたいと思っています。全て健全ものです。"
"ZINFANDEL","ジンファンデル","2025-12-30","東Ａ07ab ","ゲーム(ネット・ソーシャル)","原神のイラスト集やグッズセットなどを作ります！"
"Rolling Contact","ローリングコンタクト","2025-12-30","南ｓ04a","東方Project","東方インストクラブ系アレンジ！Hardcoreを中心に、EDM、Trance、Hardstyle、Glitch Hop、Jungle Terrorなど、幅広いジャンルのクラブミュージックアレンジを制作しています。"
"EasyGameStation","イージゲームステーション","2025-12-31","南ｌ42a","同人ソフト","windows用ゲームを制作しているサークルです。現在はシミュレーションゲームテリトワールを鋭意製作中。"
"PASTA'S ESTAB.","パスタズイスタブ","2025-12-31","西め41ab","創作(少年) ","いつも通りのイラスト集の発行とカレンダーを予定しています。"
"ビールの放課後","ビールノホウカゴ","2025-12-31","東ニ10a","評論・情報","ビール書籍7冊の著述家・長谷川小二郎の出版ユニット。ビールに関して業界から独立した著述家として、公正中立なコンテンツを提供しています。年5回以上発行の最も頻度高く発行しているビール媒体「ビールの放課後」は、公正中立を目指し、濃い情報が満載、クラフトビール多め。「ビールと料理を合わせる基礎技術」第8刷2500部、「二日酔い本」第5刷1000部突破。この冬の新刊第1弾『歴史から考えるクラフトビール』は早くも第2刷の発行が決定。メンバー製作のグッズも。"
"Electrical Babel","エレクトリカルバベル","2025-12-31","西か31a","鉄道・旅行・メカミリ","主に東京電力PG管内の送電線・送電鉄塔を鑑賞し写真集を作成している新羽 碍の個人サークル。
過去に発行した系統
東京電力PG管内：港北線、野川線、北島線、橋本線、福島幹線、福島東幹線、常陸那珂火力線、東海原子力線、原研那珂線、柿生線、川崎火力線、秦浜線、西北線、北葛飾線、新野田線、新京葉線（新古河～新野田分岐部/新野田分岐部～新京葉変電所 の2回に分けて制作）、新京葉変電所、千葉印西変電所、新座線
東北電力NW管内：新仙台火力線"
"蜜柑工房","ミカンコウボウ","2025-12-31","東サ10b","アイドルマスター","渋谷凛の1/3ドールやフィギュア写真集などの頒布を予定しています。"
"はづき倶楽部","ハヅキクラブ","2025-12-31","南ｈ17b","同人ソフト","Android用のコミケwebカタログを見るアプリCC-Viewerを実機でデモ展示。導入方法のチラシを配布。缶バッジの無料配布やグッズや本の頒布も予定。"
"赤松スタジオ","アカマツスタジオ","2025-12-31","東ア40a","評論・情報","国会レポートマンガ「赤松健の国会にっき」をメインに頒布いたします。"
"南武旅客鉄道","ナンブリョキャクテツドウ","2025-12-30","東タ41a","評論・情報","交通系限界イベンターによるハシゴ理論値考察論文集。"
